trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1976,False,"{'a': 0.5, 'e': 0.16890818427622348}",30,0,25.738772027442593,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
1977,False,"{'a': 0.5, 'e': 0.1687562352976718}",20,9,14.682578789080779,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1978,False,"{'a': 0.5, 'e': 0.16860442301167988}",20,0,-47.059816328269186,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
1979,False,"{'a': 0.5, 'e': 0.1684527472952799}",20,11,-27.856087770234893,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
1980,False,"{'a': 0.5, 'e': 0.16830120802561438}",25,0,-7.664542528849177,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
1981,False,"{'a': 0.5, 'e': 0.1681498050799366}",30,4,29.071586301806853,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
1982,False,"{'a': 0.5, 'e': 0.16799853833561007}",30,18,0.3577855622304853,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
1983,False,"{'a': 0.5, 'e': 0.16784740767010883}",20,7,-0.8470611519517119,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
1984,False,"{'a': 0.5, 'e': 0.16769641296101698}",30,7,37.05847322779228,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1985,False,"{'a': 0.5, 'e': 0.16754555408602878}",25,0,-43.52577065276373,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
1986,False,"{'a': 0.5, 'e': 0.16739483092294857}",25,0,-44.788380052335235,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
1987,False,"{'a': 0.5, 'e': 0.1672442433496905}",30,0,19.00287222608191,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
1988,False,"{'a': 0.5, 'e': 0.16709379124427876}",20,13,16.643809814478697,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1989,False,"{'a': 0.5, 'e': 0.166943474484847}",20,0,15.020346641813926,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1990,False,"{'a': 0.5, 'e': 0.16679329294963877}",20,0,14.734374423141112,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1991,False,"{'a': 0.5, 'e': 0.1666432465170069}",20,0,17.167643165204147,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1992,False,"{'a': 0.5, 'e': 0.16649333506541383}",25,20,10.459079371188137,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1993,False,"{'a': 0.5, 'e': 0.1663435584734313}",20,0,-58.30358211518179,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
1994,False,"{'a': 0.5, 'e': 0.16619391661974017}",30,0,42.031715488191836,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1995,False,"{'a': 0.5, 'e': 0.16604440938313064}",25,8,-3.8074414033083954,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
1996,False,"{'a': 0.5, 'e': 0.16589503664250174}",30,6,-1.853447856522245,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
1997,False,"{'a': 0.5, 'e': 0.16574579827686164}",25,12,22.983753278768003,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1998,False,"{'a': 0.5, 'e': 0.16559669416532716}",20,0,-26.7415267543586,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
1999,False,"{'a': 0.5, 'e': 0.16544772418712406}",30,17,22.78262120669157,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2000,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,0,21.549479345483586,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2001,False,"{'a': 0.5, 'e': 0.16515018614815755}",20,9,17.70125366507466,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2002,False,"{'a': 0.5, 'e': 0.1650016178463884}",20,9,5.703987619574521,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
2003,False,"{'a': 0.5, 'e': 0.16485318319593867}",20,0,13.76163404809718,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2004,False,"{'a': 0.5, 'e': 0.16470488207657635}",20,0,-11.138607130516883,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
2005,False,"{'a': 0.5, 'e': 0.16455671436817754}",25,0,36.9263493769524,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
